Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
30.713347875,0,0,0,1,1,1
30.713352250,0,1,0,1,1,1
30.713357375,0,0,0,1,1,1
30.713358500,0,0,1,1,1,1
30.713377375,0,1,1,1,1,1
30.713382625,0,0,1,1,1,1
30.713387875,0,1,1,1,1,1
30.713393125,0,0,1,1,1,1
30.713393500,0,0,0,1,1,1
30.713398375,0,1,0,1,1,1
30.713403500,0,0,0,1,1,1
30.713408875,0,1,0,1,1,1
30.713414000,0,0,0,1,1,1
30.713419375,0,1,0,1,1,1
30.713424500,0,0,0,1,1,1
30.713425125,0,0,1,1,1,1
30.713429875,0,1,1,1,1,1
30.713435000,0,0,1,1,1,1
30.713440250,0,1,1,1,1,1
30.713445500,0,0,1,1,1,1
30.713445875,0,0,0,1,1,1
30.713450750,0,1,0,1,1,1
30.713456000,0,0,0,1,1,1
30.713456500,0,0,1,1,1,1
30.713456875,0,0,0,1,1,1
30.713461250,0,1,0,1,1,1
30.713466375,0,0,0,1,1,1
30.713467625,0,0,1,1,1,1
30.713486375,0,1,1,1,1,1
30.713491625,0,0,1,1,1,1
30.713496875,0,1,1,1,1,1
30.713502125,0,0,1,1,1,1
30.713502500,0,0,0,1,1,1
30.713507375,0,1,0,1,1,1
30.713512500,0,0,0,1,1,1
30.713513125,0,0,1,1,1,1
30.713517875,0,1,1,1,1,1
30.713523000,0,0,1,1,1,1
30.713523500,0,0,0,1,1,1
30.713528375,0,1,0,1,1,1
30.713533500,0,0,0,1,1,1
30.713534125,0,0,1,1,1,1
30.713538875,0,1,1,1,1,1
30.713544000,0,0,1,1,1,1
30.713549250,0,1,1,1,1,1
30.713554500,0,0,1,1,1,1
30.713554875,0,0,0,1,1,1
30.713559750,0,1,0,1,1,1
30.713565000,0,0,0,1,1,1
30.713565500,0,0,1,1,1,1
30.713566000,0,0,0,1,1,1
30.713570250,0,1,0,1,1,1
30.713575500,0,0,0,1,1,1
30.713576625,0,0,1,1,1,1
30.713595375,0,1,1,1,1,1
30.713600625,0,0,1,1,1,1
30.713605875,0,1,1,1,1,1
30.713611125,0,0,1,1,1,1
30.713611500,0,0,0,1,1,1
30.713616375,0,1,0,1,1,1
30.713621625,0,0,0,1,1,1
30.713622125,0,0,1,1,1,1
30.713626875,0,1,1,1,1,1
30.713632000,0,0,1,1,1,1
30.713632500,0,0,0,1,1,1
30.713637375,0,1,0,1,1,1
30.713642500,0,0,0,1,1,1
30.713643125,0,0,1,1,1,1
30.713647875,0,1,1,1,1,1
30.713653000,0,0,1,1,1,1
30.713658375,0,1,1,1,1,1
30.713663500,0,0,1,1,1,1
30.713663875,0,0,0,1,1,1
30.713668750,0,1,0,1,1,1
30.713674000,0,0,0,1,1,1
30.713674500,0,0,1,1,1,1
30.713675000,0,0,0,1,1,1
30.713679250,0,1,0,1,1,1
30.713684500,0,0,0,1,1,1
30.713685625,0,0,1,1,1,1
30.713704500,0,1,1,1,1,1
30.713709625,0,0,1,1,1,1
30.713714875,0,1,1,1,1,1
30.713720125,0,0,1,1,1,1
30.713720500,0,0,0,1,1,1
30.713725375,0,1,0,1,1,1
30.713730625,0,0,0,1,1,1
30.713731125,0,0,1,1,1,1
30.713735875,0,1,1,1,1,1
30.713741000,0,0,1,1,1,1
30.713741500,0,0,0,1,1,1
30.713746375,0,1,0,1,1,1
30.713751500,0,0,0,1,1,1
30.713752125,0,0,1,1,1,1
30.713756875,0,1,1,1,1,1
30.713762000,0,0,1,1,1,1
30.713767375,0,1,1,1,1,1
30.713772500,0,0,1,1,1,1
30.713772875,0,0,0,1,1,1
30.713777750,0,1,0,1,1,1
30.713783000,0,0,0,1,1,1
30.713783500,0,0,1,1,1,1
30.713784000,0,0,0,1,1,1
30.713788250,0,1,0,1,1,1
30.713793500,0,0,0,1,1,1
30.713794625,0,0,1,1,1,1
30.713813500,0,1,1,1,1,1
30.713818625,0,0,1,1,1,1
30.713823875,0,1,1,1,1,1
